image,eventLabel,date,event,participants,article_en
,,,http://www.wikidata.org/entity/Q108067736,regiment,
,,,http://www.wikidata.org/entity/Q108782166,Banu Hilal; Zirid Dynasty,
,,,http://www.wikidata.org/entity/Q10893760,Duke Zhuang of Zheng; Q9420977,
,,,http://www.wikidata.org/entity/Q109284488,New Kingdom of Egypt; Kerma,
http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9F%D0%B5%D1%80%D0%B5%D1%85%D0%BE%D0%B4%20%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B9%20%D0%B0%D1%80%D0%BC%D0%B8%D0%B8%20%D1%87%D0%B5%D1%80%D0%B5%D0%B7%20%D1%80.%20%D0%94%D1%83%D1%88%D0%B0%D0%BD%D0%B1%D0%B8%D0%BD%D0%BA%D0%B0.jpg,Afghan Civil War (1928–1929),1928-11-14T00:00:00Z,http://www.wikidata.org/entity/Q10952572,Saqqawists; Basmachi movement; Kingdom of Afghanistan,https://en.wikipedia.org/wiki/Afghan_Civil_War_(1928%E2%80%931929)
,,,http://www.wikidata.org/entity/Q110197514,Philistines; Jewish people,
,,,http://www.wikidata.org/entity/Q110363021,Papal States; Kingdom of Sicily; Lombard League,
,,,http://www.wikidata.org/entity/Q110425527,Chagatai Khanate; Moghulistan,
,,,http://www.wikidata.org/entity/Q110463135,Moghulistan,
http://commons.wikimedia.org/wiki/Special:FilePath/Elephant%20Pass%20armored%20bulldozer.JPG,Eelam War II,1990-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11050383,Sri Lanka; Liberation Tigers of Tamil Eelam,https://en.wikipedia.org/wiki/Eelam_War_II
,,,http://www.wikidata.org/entity/Q110536154,British Empire; Ottoman Empire,
,,,http://www.wikidata.org/entity/Q11072264,Shō Shiro; Shō Furi,
,,,http://www.wikidata.org/entity/Q1107697,Portuguese Empire; Safavid dynasty,
